boot_id,uptime_ms,reset_reason,mode,read_error,battery_present,battery_percent,battery_mv,charging,vbus_mv,stage,status0,status1,irq0,irq1,irq2
94126da4b49ca55c,16702,11,0,0,1,100,4198,1,5129,3,56,51,16,139,106
681a8682dec8737a,4869,11,0,0,1,100,4198,1,5132,3,56,51,16,139,106
5874218aa9000db9,4846,11,0,0,1,100,4198,1,5142,3,56,51,16,139,106
e1e562e892b4915c,4872,11,0,0,1,100,4197,1,5144,3,56,51,16,139,106
e1e562e892b4915c,34895,11,0,0,1,100,4197,1,5150,3,56,51,16,139,106
a3a94d9b1aa62d4d,4880,11,0,0,1,100,4198,1,5137,3,56,51,16,139,106
a3a94d9b1aa62d4d,34903,11,0,0,1,100,4197,1,5151,3,56,51,16,139,106
a3a94d9b1aa62d4d,65082,11,1,0,1,100,4197,1,5154,3,56,51,16,139,106
a3a94d9b1aa62d4d,95102,11,1,0,1,100,4197,1,5154,3,56,51,16,139,106
a3a94d9b1aa62d4d,125121,11,2,0,1,100,4197,1,5154,3,56,51,16,139,106
a3a94d9b1aa62d4d,155141,11,2,0,1,100,4197,1,5156,3,56,51,16,139,106
a3a94d9b1aa62d4d,185162,11,2,0,1,100,4197,1,5155,3,56,51,16,139,106
a3a94d9b1aa62d4d,215182,11,2,0,1,100,4197,1,5155,3,56,51,16,139,106
a3a94d9b1aa62d4d,245201,11,2,0,1,100,4197,1,5156,3,56,51,16,139,106
a3a94d9b1aa62d4d,275220,11,2,0,1,100,4197,1,5157,3,56,51,16,139,106
a3a94d9b1aa62d4d,305240,11,3,0,1,100,4197,1,5168,3,56,51,16,139,106
a3a94d9b1aa62d4d,335268,11,3,0,1,100,4196,1,5169,3,56,51,16,139,106
a3a94d9b1aa62d4d,365289,11,3,0,1,100,4197,1,5170,3,56,51,16,139,106
a3a94d9b1aa62d4d,395308,11,3,0,1,100,4197,1,5170,3,56,51,16,139,106
